d_cm,r
0.0,0.1604
0.5,0.1546
1.0,0.14113
1.5,0.1196
2.0,0.1085
2.5,0.103225
3.0,0.08943
3.5,0.08083
4.0,0.07266
4.5,0.064928
5.0,0.06006
5.5,0.05762
6.0,0.05539
6.5,0.04433
7.0,0.03289
7.5,0.02611
8.0,0.018805
9.0,0.01269
10.0,0.010146
