f_Hz,r
500.0,0.0015376
1000.0,0.0041396
2000.0,0.00735
3000.0,0.00784
4000.0,0.008789
5000.0,0.00888
6000.0,0.0094
7000.0,0.0096396
8000.0,0.0104
9000.0,0.011
10000.0,0.0122
12500.0,0.0152
15000.0,0.01592
17500.0,0.01701
20000.0,0.022369
25000.0,0.02604
30000.0,0.0333
35000.0,0.03423
40000.0,0.0347
50000.0,0.0359
60000.0,0.03675
70000.0,0.03459
80000.0,0.03328
90000.0,0.03283
100000.0,0.031699
125000.0,0.0317
150000.0,0.031464
200000.0,0.029
